Year,Month,Day,Period,Price1,Price2,Datetime,Country
2025,12,5,1,76.08,76.08,2025-12-05 00:00:00,Spain
2025,12,5,2,75.46,75.46,2025-12-05 00:15:00,Spain
2025,12,5,3,74.01,74.01,2025-12-05 00:30:00,Spain
2025,12,5,4,70.0,70.0,2025-12-05 00:45:00,Spain
2025,12,5,5,70.0,70.0,2025-12-05 01:00:00,Spain
2025,12,5,6,63.32,63.32,2025-12-05 01:15:00,Spain
2025,12,5,7,60.0,60.0,2025-12-05 01:30:00,Spain
2025,12,5,8,56.9,56.9,2025-12-05 01:45:00,Spain
2025,12,5,9,56.9,56.9,2025-12-05 02:00:00,Spain
2025,12,5,10,56.52,56.52,2025-12-05 02:15:00,Spain
2025,12,5,11,56.52,56.52,2025-12-05 02:30:00,Spain
2025,12,5,12,56.5,56.5,2025-12-05 02:45:00,Spain
2025,12,5,13,55.41,55.41,2025-12-05 03:00:00,Spain
2025,12,5,14,55.34,55.34,2025-12-05 03:15:00,Spain
2025,12,5,15,55.27,55.27,2025-12-05 03:30:00,Spain
2025,12,5,16,55.27,55.27,2025-12-05 03:45:00,Spain
2025,12,5,17,54.2,54.2,2025-12-05 04:00:00,Spain
2025,12,5,18,54.2,54.2,2025-12-05 04:15:00,Spain
2025,12,5,19,55.2,55.2,2025-12-05 04:30:00,Spain
2025,12,5,20,55.41,55.41,2025-12-05 04:45:00,Spain
2025,12,5,21,56.5,56.5,2025-12-05 05:00:00,Spain
2025,12,5,22,56.63,56.63,2025-12-05 05:15:00,Spain
2025,12,5,23,57.9,57.9,2025-12-05 05:30:00,Spain
2025,12,5,24,66.72,66.72,2025-12-05 05:45:00,Spain
2025,12,5,25,61.88,61.88,2025-12-05 06:00:00,Spain
2025,12,5,26,72.01,72.01,2025-12-05 06:15:00,Spain
2025,12,5,27,74.5,74.5,2025-12-05 06:30:00,Spain
2025,12,5,28,75.94,75.94,2025-12-05 06:45:00,Spain
2025,12,5,29,74.74,74.74,2025-12-05 07:00:00,Spain
2025,12,5,30,77.49,77.49,2025-12-05 07:15:00,Spain
2025,12,5,31,81.31,81.31,2025-12-05 07:30:00,Spain
2025,12,5,32,86.0,86.0,2025-12-05 07:45:00,Spain
2025,12,5,33,86.74,86.74,2025-12-05 08:00:00,Spain
2025,12,5,34,88.43,88.43,2025-12-05 08:15:00,Spain
2025,12,5,35,89.0,89.0,2025-12-05 08:30:00,Spain
2025,12,5,36,87.85,87.85,2025-12-05 08:45:00,Spain
2025,12,5,37,87.38,87.38,2025-12-05 09:00:00,Spain
2025,12,5,38,86.43,86.43,2025-12-05 09:15:00,Spain
2025,12,5,39,84.99,84.99,2025-12-05 09:30:00,Spain
2025,12,5,40,80.61,80.61,2025-12-05 09:45:00,Spain
2025,12,5,41,87.85,87.85,2025-12-05 10:00:00,Spain
2025,12,5,42,83.48,83.48,2025-12-05 10:15:00,Spain
2025,12,5,43,80.72,80.72,2025-12-05 10:30:00,Spain
2025,12,5,44,76.08,76.08,2025-12-05 10:45:00,Spain
2025,12,5,45,76.71,76.71,2025-12-05 11:00:00,Spain
2025,12,5,46,75.46,75.46,2025-12-05 11:15:00,Spain
2025,12,5,47,74.74,74.74,2025-12-05 11:30:00,Spain
2025,12,5,48,72.21,72.21,2025-12-05 11:45:00,Spain
2025,12,5,49,72.34,72.34,2025-12-05 12:00:00,Spain
2025,12,5,50,67.99,67.99,2025-12-05 12:15:00,Spain
2025,12,5,51,63.32,63.32,2025-12-05 12:30:00,Spain
2025,12,5,52,57.3,57.3,2025-12-05 12:45:00,Spain
2025,12,5,53,56.52,56.52,2025-12-05 13:00:00,Spain
2025,12,5,54,56.45,56.45,2025-12-05 13:15:00,Spain
2025,12,5,55,55.2,55.2,2025-12-05 13:30:00,Spain
2025,12,5,56,53.5,53.5,2025-12-05 13:45:00,Spain
2025,12,5,57,53.5,53.5,2025-12-05 14:00:00,Spain
2025,12,5,58,54.2,54.2,2025-12-05 14:15:00,Spain
2025,12,5,59,55.27,55.27,2025-12-05 14:30:00,Spain
2025,12,5,60,56.37,56.37,2025-12-05 14:45:00,Spain
2025,12,5,61,60.0,60.0,2025-12-05 15:00:00,Spain
2025,12,5,62,67.0,67.0,2025-12-05 15:15:00,Spain
2025,12,5,63,70.0,70.0,2025-12-05 15:30:00,Spain
2025,12,5,64,74.5,74.5,2025-12-05 15:45:00,Spain
2025,12,5,65,72.34,72.34,2025-12-05 16:00:00,Spain
2025,12,5,66,76.08,76.08,2025-12-05 16:15:00,Spain
2025,12,5,67,80.35,80.35,2025-12-05 16:30:00,Spain
2025,12,5,68,84.37,84.37,2025-12-05 16:45:00,Spain
2025,12,5,69,81.31,81.31,2025-12-05 17:00:00,Spain
2025,12,5,70,83.96,83.96,2025-12-05 17:15:00,Spain
2025,12,5,71,85.0,85.0,2025-12-05 17:30:00,Spain
2025,12,5,72,87.0,87.0,2025-12-05 17:45:00,Spain
2025,12,5,73,86.43,86.43,2025-12-05 18:00:00,Spain
2025,12,5,74,87.04,87.04,2025-12-05 18:15:00,Spain
2025,12,5,75,87.3,87.3,2025-12-05 18:30:00,Spain
2025,12,5,76,87.85,87.85,2025-12-05 18:45:00,Spain
2025,12,5,77,82.38,82.38,2025-12-05 19:00:00,Spain
2025,12,5,78,84.94,84.94,2025-12-05 19:15:00,Spain
2025,12,5,79,83.0,83.0,2025-12-05 19:30:00,Spain
2025,12,5,80,81.68,81.68,2025-12-05 19:45:00,Spain
2025,12,5,81,81.31,81.31,2025-12-05 20:00:00,Spain
2025,12,5,82,80.49,80.49,2025-12-05 20:15:00,Spain
2025,12,5,83,79.0,79.0,2025-12-05 20:30:00,Spain
2025,12,5,84,75.94,75.94,2025-12-05 20:45:00,Spain
2025,12,5,85,77.76,77.76,2025-12-05 21:00:00,Spain
2025,12,5,86,75.0,75.0,2025-12-05 21:15:00,Spain
2025,12,5,87,70.43,70.43,2025-12-05 21:30:00,Spain
2025,12,5,88,64.1,64.1,2025-12-05 21:45:00,Spain
2025,12,5,89,70.43,70.43,2025-12-05 22:00:00,Spain
2025,12,5,90,69.0,69.0,2025-12-05 22:15:00,Spain
2025,12,5,91,69.0,69.0,2025-12-05 22:30:00,Spain
2025,12,5,92,63.32,63.32,2025-12-05 22:45:00,Spain
2025,12,5,93,61.6,61.6,2025-12-05 23:00:00,Spain
2025,12,5,94,56.63,56.63,2025-12-05 23:15:00,Spain
2025,12,5,95,55.38,54.8,2025-12-05 23:30:00,Spain
2025,12,5,96,52.85,52.85,2025-12-05 23:45:00,Spain
